assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,position,init_price,team_code,gw,id,total_points,total_points_1,total_points_2,total_points_3,total_points_4
0,0,0,0,0.0,523,130,0,0,0.0,0.0,0,21,0,0,0,0,0,18697,3.0,2.0,0.0,723,1467,744,73,0,0,3.0,73.0,6.0,13,200826,1,1,0,0,0
0,0,2,0,0.1,523,139,1,0,0.3,3.0,2,91,0,0,0,0,0,17487,2.0,3.0,0.0,-1349,231,1580,73,1,0,3.0,73.0,6.0,14,200826,1,0,0,0,1
0,0,2,0,0.7,523,144,0,0,0.3,0.6,5,1,0,0,0,0,0,17148,1.0,2.0,2.0,-488,95,583,73,0,0,3.0,73.0,6.0,15,200826,0,0,0,1,2
0,0,0,0,0.0,523,158,0,0,0.0,0.0,0,90,0,0,0,0,0,17036,0.0,5.0,0.0,-267,138,405,73,1,0,3.0,73.0,6.0,16,200826,0,0,1,2,2
0,0,0,0,0.0,523,170,0,0,0.0,0.0,0,39,0,0,0,0,0,16907,2.0,1.0,0.0,-355,150,505,73,0,0,3.0,73.0,6.0,17,200826,0,1,2,2,1
0,0,0,0,0.0,523,178,0,0,0.0,0.0,0,8,0,0,0,0,0,17044,2.0,0.0,0.0,-146,206,352,73,1,0,3.0,73.0,6.0,18,200826,1,2,2,1,3
0,0,0,0,2.8,523,189,0,0,0.8,5.4,34,36,0,0,0,0,0,17280,1.0,2.0,0.0,4,249,245,73,1,0,3.0,73.0,6.0,19,200826,2,2,1,3,2
0,0,13,0,13.3,523,197,2,0,4.0,10.0,73,45,0,0,0,0,0,18402,2.0,2.0,17.0,847,1098,251,73,0,0,3.0,73.0,6.0,20,200826,2,1,3,2,2
0,0,3,1,15.5,523,208,0,0,4.3,13.0,65,20,0,0,0,0,0,18014,0.0,1.0,14.0,-512,256,768,73,0,1,3.0,73.0,6.0,21,200826,1,3,2,2,1
0,0,0,0,6.6,523,219,0,0,1.5,0.0,21,14,0,0,0,0,0,18013,1.0,0.0,9.0,-314,233,547,73,1,0,3.0,73.0,6.0,22,200826,3,2,2,1,1
0,0,13,1,4.3,523,229,0,0,1.8,14.0,79,57,0,0,0,0,0,19501,0.0,0.0,0.0,1134,1552,418,73,0,0,3.0,73.0,6.0,23,200826,2,2,1,1,1
0,0,21,0,50.5,523,240,1,0,9.2,33.4,90,45,0,0,0,0,0,20321,1.0,2.0,8.0,618,1126,508,73,1,0,3.0,73.0,6.0,24,200826,2,1,1,1,0
0,0,13,1,13.6,523,248,0,0,2.8,14.4,90,43,0,0,0,0,0,24125,0.0,2.0,0.0,3304,4283,979,73,1,1,3.0,73.0,6.0,25,200826,1,1,1,0,1
0,0,3,0,26.0,523,252,0,0,5.4,10.0,30,7,0,0,0,0,0,24558,3.0,2.0,18.0,296,1927,1631,73,0,0,3.0,73.0,6.0,26,200826,1,1,0,1,3
0,0,9,0,30.7,523,263,2,0,5.2,21.4,90,8,0,0,0,0,0,26101,1.0,2.0,0.0,1209,2734,1525,73,0,1,3.0,73.0,6.0,27,200826,1,0,1,3,2
0,0,10,0,30.2,523,278,3,0,6.9,16.6,90,39,0,0,0,0,0,27575,3.0,2.0,22.0,788,1975,1187,73,1,1,3.0,73.0,6.0,28,200826,0,1,3,2,6
0,0,5,0,18.1,523,282,0,0,2.3,0.8,45,90,0,0,0,0,0,27265,1.0,1.0,4.0,-62,1538,1600,73,0,1,3.0,73.0,6.0,29,200826,1,3,2,6,1
